,type,airline,delay,scheduledTime,actualTime,date,Day of the week
1199,departure,american airlines,7.0,2024-05-10 23:59:00,2024-05-11 00:05:00,2024-05-10,Friday
1203,departure,jetblue airways,5.0,2024-05-10 23:59:00,2024-05-11 00:03:00,2024-05-10,Friday
1205,departure,delta air lines,16.0,2024-05-10 23:59:00,2024-05-11 00:14:00,2024-05-10,Friday
1207,departure,delta air lines,15.0,2024-05-10 23:59:00,2024-05-11 00:13:00,2024-05-10,Friday
1210,departure,american airlines,6.0,2024-05-11 05:12:00,2024-05-11 05:18:00,2024-05-11,Saturday
1212,departure,united airlines,11.0,2024-05-11 05:15:00,2024-05-11 05:25:00,2024-05-11,Saturday
1213,departure,southwest airlines,7.0,2024-05-11 05:40:00,2024-05-11 05:47:00,2024-05-11,Saturday
1215,departure,american airlines,8.0,2024-05-11 05:45:00,2024-05-11 05:52:00,2024-05-11,Saturday
1219,departure,delta air lines,4.0,2024-05-11 06:00:00,2024-05-11 06:03:00,2024-05-11,Saturday
1220,departure,spirit airlines,,2024-05-11 06:00:00,2024-05-11 06:00:00,2024-05-11,Saturday
1221,departure,aeromexico,12.0,2024-05-11 06:17:00,2024-05-11 06:29:00,2024-05-11,Saturday
1222,departure,delta air lines,12.0,2024-05-11 06:17:00,2024-05-11 06:29:00,2024-05-11,Saturday
1223,departure,aeromexico,13.0,2024-05-11 06:25:00,2024-05-11 06:38:00,2024-05-11,Saturday
1225,departure,delta air lines,13.0,2024-05-11 06:25:00,2024-05-11 06:38:00,2024-05-11,Saturday
1226,departure,southwest airlines,6.0,2024-05-11 06:25:00,2024-05-11 06:30:00,2024-05-11,Saturday
1228,departure,united airlines,10.0,2024-05-11 06:45:00,2024-05-11 06:55:00,2024-05-11,Saturday
1232,departure,alaska airlines,12.0,2024-05-11 06:50:00,2024-05-11 07:01:00,2024-05-11,Saturday
1236,departure,american airlines,7.0,2024-05-11 06:58:00,2024-05-11 07:05:00,2024-05-11,Saturday
1239,departure,american airlines,10.0,2024-05-11 07:00:00,2024-05-11 07:09:00,2024-05-11,Saturday
1241,departure,united airlines,11.0,2024-05-11 07:00:00,2024-05-11 07:11:00,2024-05-11,Saturday
1242,departure,southwest airlines,9.0,2024-05-11 07:00:00,2024-05-11 07:09:00,2024-05-11,Saturday
1243,departure,southwest airlines,36.0,2024-05-11 07:15:00,2024-05-11 07:51:00,2024-05-11,Saturday
1244,departure,american airlines,7.0,2024-05-11 07:30:00,2024-05-11 07:36:00,2024-05-11,Saturday
1245,departure,delta air lines,50.0,2024-05-11 07:41:00,2024-05-11 08:30:00,2024-05-11,Saturday
1249,departure,united airlines,14.0,2024-05-11 07:45:00,2024-05-11 07:58:00,2024-05-11,Saturday
1250,departure,alaska airlines,12.0,2024-05-11 08:00:00,2024-05-11 08:11:00,2024-05-11,Saturday
1256,departure,delta air lines,14.0,2024-05-11 08:00:00,2024-05-11 08:14:00,2024-05-11,Saturday
1261,departure,delta air lines,19.0,2024-05-11 08:00:00,2024-05-11 08:18:00,2024-05-11,Saturday
1267,departure,united airlines,55.0,2024-05-11 08:00:00,,2024-05-11,Saturday
1269,departure,aeromexico,17.0,2024-05-11 08:01:00,2024-05-11 08:17:00,2024-05-11,Saturday
1273,departure,delta air lines,17.0,2024-05-11 08:01:00,2024-05-11 08:17:00,2024-05-11,Saturday
1274,departure,aeromexico,17.0,2024-05-11 08:05:00,2024-05-11 08:22:00,2024-05-11,Saturday
1275,departure,delta air lines,17.0,2024-05-11 08:05:00,2024-05-11 08:22:00,2024-05-11,Saturday
1277,departure,delta air lines,118.0,2024-05-11 08:05:00,,2024-05-11,Saturday
1279,departure,delta air lines,11.0,2024-05-11 08:06:00,2024-05-11 08:16:00,2024-05-11,Saturday
1280,departure,delta air lines,38.0,2024-05-11 08:08:00,,2024-05-11,Saturday
1281,departure,delta air lines,10.0,2024-05-11 08:10:00,2024-05-11 08:19:00,2024-05-11,Saturday
1282,departure,southwest airlines,11.0,2024-05-11 08:10:00,2024-05-11 08:21:00,2024-05-11,Saturday
1284,departure,american airlines,21.0,2024-05-11 08:15:00,2024-05-11 08:35:00,2024-05-11,Saturday
1288,departure,delta air lines,22.0,2024-05-11 08:15:00,2024-05-11 08:37:00,2024-05-11,Saturday
1291,departure,united airlines,23.0,2024-05-11 08:15:00,2024-05-11 08:38:00,2024-05-11,Saturday
1293,departure,delta air lines,10.0,2024-05-11 08:20:00,2024-05-11 08:30:00,2024-05-11,Saturday
1297,departure,american airlines,3.0,2024-05-11 08:24:00,2024-05-11 08:27:00,2024-05-11,Saturday
1298,departure,delta air lines,4.0,2024-05-11 08:25:00,2024-05-11 08:29:00,2024-05-11,Saturday
1299,departure,southwest airlines,39.0,2024-05-11 08:25:00,2024-05-11 09:04:00,2024-05-11,Saturday
1301,departure,united airlines,52.0,2024-05-11 08:25:00,,2024-05-11,Saturday
1304,departure,delta air lines,13.0,2024-05-11 08:28:00,2024-05-11 08:40:00,2024-05-11,Saturday
1308,departure,delta air lines,2.0,2024-05-11 08:31:00,2024-05-11 08:32:00,2024-05-11,Saturday
1313,departure,alaska airlines,49.0,2024-05-11 08:45:00,2024-05-11 09:34:00,2024-05-11,Saturday
1317,departure,delta air lines,14.0,2024-05-11 09:25:00,2024-05-11 09:39:00,2024-05-11,Saturday
1318,departure,aeromexico,11.0,2024-05-11 09:25:00,2024-05-11 09:36:00,2024-05-11,Saturday
1324,departure,delta air lines,11.0,2024-05-11 09:25:00,2024-05-11 09:36:00,2024-05-11,Saturday
1326,departure,aeromexico,,2024-05-11 09:25:00,2024-05-11 09:24:00,2024-05-11,Saturday
1328,departure,delta air lines,,2024-05-11 09:25:00,2024-05-11 09:24:00,2024-05-11,Saturday
1329,departure,southwest airlines,10.0,2024-05-11 09:25:00,2024-05-11 09:35:00,2024-05-11,Saturday
1330,departure,aeromexico,5.0,2024-05-11 09:28:00,2024-05-11 09:32:00,2024-05-11,Saturday
1331,departure,delta air lines,5.0,2024-05-11 09:28:00,2024-05-11 09:32:00,2024-05-11,Saturday
1333,departure,aeromexico,12.0,2024-05-11 09:30:00,2024-05-11 09:42:00,2024-05-11,Saturday
1337,departure,delta air lines,12.0,2024-05-11 09:30:00,2024-05-11 09:42:00,2024-05-11,Saturday
1338,departure,aeromexico,14.0,2024-05-11 09:30:00,2024-05-11 09:43:00,2024-05-11,Saturday
1345,departure,delta air lines,14.0,2024-05-11 09:30:00,2024-05-11 09:43:00,2024-05-11,Saturday
1346,departure,delta air lines,20.0,2024-05-11 09:30:00,2024-05-11 09:50:00,2024-05-11,Saturday
1354,departure,united airlines,19.0,2024-05-11 09:30:00,2024-05-11 09:49:00,2024-05-11,Saturday
1355,departure,delta air lines,12.0,2024-05-11 09:33:00,2024-05-11 09:44:00,2024-05-11,Saturday
1357,departure,delta air lines,8.0,2024-05-11 09:33:00,2024-05-11 09:40:00,2024-05-11,Saturday
1358,departure,delta air lines,30.0,2024-05-11 09:35:00,,2024-05-11,Saturday
1359,departure,aeromexico,10.0,2024-05-11 09:37:00,2024-05-11 09:46:00,2024-05-11,Saturday
1360,departure,delta air lines,10.0,2024-05-11 09:37:00,2024-05-11 09:46:00,2024-05-11,Saturday
1364,departure,delta air lines,17.0,2024-05-11 09:40:00,2024-05-11 09:56:00,2024-05-11,Saturday
1366,departure,delta air lines,8.0,2024-05-11 09:40:00,2024-05-11 09:47:00,2024-05-11,Saturday
1367,departure,delta air lines,33.0,2024-05-11 09:40:00,2024-05-11 10:12:00,2024-05-11,Saturday
1369,departure,aeromexico,14.0,2024-05-11 09:41:00,2024-05-11 09:55:00,2024-05-11,Saturday
1374,departure,delta air lines,14.0,2024-05-11 09:41:00,2024-05-11 09:55:00,2024-05-11,Saturday
1377,departure,delta air lines,11.0,2024-05-11 09:43:00,2024-05-11 09:53:00,2024-05-11,Saturday
1378,departure,delta air lines,8.0,2024-05-11 09:43:00,2024-05-11 09:51:00,2024-05-11,Saturday
1381,departure,delta air lines,19.0,2024-05-11 09:45:00,2024-05-11 10:04:00,2024-05-11,Saturday
1382,departure,delta air lines,12.0,2024-05-11 09:45:00,2024-05-11 09:57:00,2024-05-11,Saturday
1383,departure,delta air lines,15.0,2024-05-11 09:45:00,2024-05-11 10:00:00,2024-05-11,Saturday
1384,departure,aeromexico,15.0,2024-05-11 09:45:00,2024-05-11 10:00:00,2024-05-11,Saturday
1386,departure,jetblue airways,46.0,2024-05-11 09:48:00,2024-05-11 10:33:00,2024-05-11,Saturday
1387,departure,aeromexico,17.0,2024-05-11 10:00:00,2024-05-11 10:16:00,2024-05-11,Saturday
1389,departure,delta air lines,17.0,2024-05-11 10:00:00,2024-05-11 10:16:00,2024-05-11,Saturday
1393,departure,delta air lines,16.0,2024-05-11 10:00:00,2024-05-11 10:16:00,2024-05-11,Saturday
1394,departure,southwest airlines,15.0,2024-05-11 10:00:00,2024-05-11 10:14:00,2024-05-11,Saturday
1396,departure,frontier airlines,10.0,2024-05-11 10:03:00,2024-05-11 10:13:00,2024-05-11,Saturday
1397,departure,delta air lines,59.0,2024-05-11 10:05:00,,2024-05-11,Saturday
1398,departure,delta air lines,22.0,2024-05-11 10:05:00,2024-05-11 10:27:00,2024-05-11,Saturday
1399,departure,delta air lines,16.0,2024-05-11 10:10:00,2024-05-11 10:26:00,2024-05-11,Saturday
1400,departure,southwest airlines,19.0,2024-05-11 10:10:00,2024-05-11 10:29:00,2024-05-11,Saturday
1401,departure,frontier airlines,20.0,2024-05-11 10:15:00,2024-05-11 10:35:00,2024-05-11,Saturday
1403,departure,delta air lines,8.0,2024-05-11 10:22:00,2024-05-11 10:29:00,2024-05-11,Saturday
1407,departure,delta air lines,9.0,2024-05-11 10:28:00,2024-05-11 10:37:00,2024-05-11,Saturday
1408,departure,delta air lines,7.0,2024-05-11 10:44:00,2024-05-11 10:51:00,2024-05-11,Saturday
1410,departure,united airlines,34.0,2024-05-11 10:47:00,2024-05-11 11:21:00,2024-05-11,Saturday
1412,departure,american airlines,13.0,2024-05-11 10:50:00,2024-05-11 11:02:00,2024-05-11,Saturday
1414,departure,delta air lines,6.0,2024-05-11 10:59:00,2024-05-11 11:05:00,2024-05-11,Saturday
1415,departure,delta air lines,9.0,2024-05-11 11:00:00,2024-05-11 11:09:00,2024-05-11,Saturday
1416,departure,aeromexico,4.0,2024-05-11 11:00:00,2024-05-11 11:04:00,2024-05-11,Saturday
1417,departure,delta air lines,4.0,2024-05-11 11:00:00,2024-05-11 11:04:00,2024-05-11,Saturday
1418,departure,delta air lines,6.0,2024-05-11 11:00:00,2024-05-11 11:06:00,2024-05-11,Saturday
1420,departure,delta air lines,14.0,2024-05-11 11:00:00,2024-05-11 11:13:00,2024-05-11,Saturday
1421,departure,delta air lines,14.0,2024-05-11 11:00:00,2024-05-11 11:14:00,2024-05-11,Saturday
1422,departure,delta air lines,23.0,2024-05-11 11:00:00,2024-05-11 11:22:00,2024-05-11,Saturday
1424,departure,aeromexico,25.0,2024-05-11 11:05:00,2024-05-11 11:29:00,2024-05-11,Saturday
1428,departure,delta air lines,25.0,2024-05-11 11:05:00,2024-05-11 11:29:00,2024-05-11,Saturday
1433,departure,delta air lines,6.0,2024-05-11 11:05:00,2024-05-11 11:10:00,2024-05-11,Saturday
1434,departure,aeromexico,5.0,2024-05-11 11:05:00,2024-05-11 11:09:00,2024-05-11,Saturday
1435,departure,delta air lines,5.0,2024-05-11 11:05:00,2024-05-11 11:09:00,2024-05-11,Saturday
1436,departure,delta air lines,33.0,2024-05-11 11:05:00,2024-05-11 11:38:00,2024-05-11,Saturday
1437,departure,delta air lines,42.0,2024-05-11 11:05:00,2024-05-11 11:46:00,2024-05-11,Saturday
1438,departure,delta air lines,31.0,2024-05-11 11:06:00,2024-05-11 11:36:00,2024-05-11,Saturday
1439,departure,aeromexico,18.0,2024-05-11 11:10:00,2024-05-11 11:27:00,2024-05-11,Saturday
1442,departure,delta air lines,18.0,2024-05-11 11:10:00,2024-05-11 11:27:00,2024-05-11,Saturday
1443,departure,delta air lines,6.0,2024-05-11 11:10:00,2024-05-11 11:16:00,2024-05-11,Saturday
1444,departure,delta air lines,16.0,2024-05-11 11:10:00,2024-05-11 11:25:00,2024-05-11,Saturday
1449,departure,delta air lines,7.0,2024-05-11 11:10:00,2024-05-11 11:17:00,2024-05-11,Saturday
1450,departure,delta air lines,12.0,2024-05-11 11:10:00,2024-05-11 11:22:00,2024-05-11,Saturday
1452,departure,aeromexico,23.0,2024-05-11 11:10:00,2024-05-11 11:33:00,2024-05-11,Saturday
1457,departure,delta air lines,23.0,2024-05-11 11:10:00,2024-05-11 11:33:00,2024-05-11,Saturday
1463,departure,alaska airlines,23.0,2024-05-11 11:11:00,2024-05-11 11:34:00,2024-05-11,Saturday
1464,departure,aeromexico,14.0,2024-05-11 11:13:00,2024-05-11 11:26:00,2024-05-11,Saturday
1466,departure,delta air lines,14.0,2024-05-11 11:13:00,2024-05-11 11:26:00,2024-05-11,Saturday
1467,departure,delta air lines,4.0,2024-05-11 11:15:00,2024-05-11 11:18:00,2024-05-11,Saturday
1469,departure,delta air lines,17.0,2024-05-11 11:15:00,2024-05-11 11:32:00,2024-05-11,Saturday
1470,departure,aeromexico,9.0,2024-05-11 11:15:00,2024-05-11 11:24:00,2024-05-11,Saturday
1472,departure,delta air lines,9.0,2024-05-11 11:15:00,2024-05-11 11:24:00,2024-05-11,Saturday
1473,departure,delta air lines,12.0,2024-05-11 11:15:00,2024-05-11 11:26:00,2024-05-11,Saturday
1477,departure,delta air lines,40.0,2024-05-11 11:20:00,,2024-05-11,Saturday
1479,departure,delta air lines,11.0,2024-05-11 11:20:00,2024-05-11 11:30:00,2024-05-11,Saturday
1480,departure,delta air lines,4.0,2024-05-11 11:20:00,2024-05-11 11:23:00,2024-05-11,Saturday
1483,departure,delta air lines,19.0,2024-05-11 11:24:00,2024-05-11 11:43:00,2024-05-11,Saturday
1484,departure,delta air lines,8.0,2024-05-11 11:25:00,2024-05-11 11:33:00,2024-05-11,Saturday
1487,departure,delta air lines,11.0,2024-05-11 11:25:00,2024-05-11 11:35:00,2024-05-11,Saturday
1488,departure,delta air lines,8.0,2024-05-11 11:27:00,2024-05-11 11:34:00,2024-05-11,Saturday
1491,departure,delta air lines,16.0,2024-05-11 11:27:00,2024-05-11 11:42:00,2024-05-11,Saturday
1494,departure,delta air lines,24.0,2024-05-11 11:30:00,2024-05-11 11:54:00,2024-05-11,Saturday
1498,departure,delta air lines,8.0,2024-05-11 11:34:00,2024-05-11 11:41:00,2024-05-11,Saturday
1499,departure,delta air lines,47.0,2024-05-11 11:35:00,,2024-05-11,Saturday
1500,departure,aeromexico,36.0,2024-05-11 11:40:00,2024-05-11 12:16:00,2024-05-11,Saturday
1506,departure,delta air lines,36.0,2024-05-11 11:40:00,2024-05-11 12:16:00,2024-05-11,Saturday
1507,departure,delta air lines,13.0,2024-05-11 11:40:00,2024-05-11 11:52:00,2024-05-11,Saturday
1508,departure,delta air lines,4.0,2024-05-11 11:45:00,2024-05-11 11:48:00,2024-05-11,Saturday
1509,departure,aeromexico,19.0,2024-05-11 11:45:00,2024-05-11 12:04:00,2024-05-11,Saturday
1511,departure,delta air lines,19.0,2024-05-11 11:45:00,2024-05-11 12:04:00,2024-05-11,Saturday
1512,departure,delta air lines,17.0,2024-05-11 11:45:00,2024-05-11 12:02:00,2024-05-11,Saturday
1513,departure,delta air lines,20.0,2024-05-11 11:45:00,2024-05-11 12:05:00,2024-05-11,Saturday
1514,departure,delta air lines,14.0,2024-05-11 11:45:00,2024-05-11 11:59:00,2024-05-11,Saturday
1515,departure,aeromexico,2.0,2024-05-11 11:50:00,2024-05-11 11:51:00,2024-05-11,Saturday
1521,departure,delta air lines,2.0,2024-05-11 11:50:00,2024-05-11 11:51:00,2024-05-11,Saturday
1522,departure,delta air lines,19.0,2024-05-11 11:50:00,2024-05-11 12:08:00,2024-05-11,Saturday
1525,departure,delta air lines,15.0,2024-05-11 11:55:00,2024-05-11 12:10:00,2024-05-11,Saturday
1526,departure,delta air lines,2.0,2024-05-11 11:59:00,2024-05-11 12:00:00,2024-05-11,Saturday
1527,departure,southwest airlines,12.0,2024-05-11 12:05:00,2024-05-11 12:17:00,2024-05-11,Saturday
1528,departure,american airlines,6.0,2024-05-11 12:05:00,2024-05-11 12:11:00,2024-05-11,Saturday
1530,departure,alaska airlines,6.0,2024-05-11 12:05:00,2024-05-11 12:11:00,2024-05-11,Saturday
1533,departure,american airlines,7.0,2024-05-11 12:07:00,2024-05-11 12:14:00,2024-05-11,Saturday
1538,departure,american airlines,20.0,2024-05-11 12:11:00,2024-05-11 12:30:00,2024-05-11,Saturday
1542,departure,united airlines,12.0,2024-05-11 12:53:00,2024-05-11 13:04:00,2024-05-11,Saturday
1545,departure,united airlines,22.0,2024-05-11 13:00:00,2024-05-11 13:21:00,2024-05-11,Saturday
1546,departure,southwest airlines,18.0,2024-05-11 13:05:00,2024-05-11 13:23:00,2024-05-11,Saturday
1549,departure,united airlines,14.0,2024-05-11 13:15:00,2024-05-11 13:28:00,2024-05-11,Saturday
1550,departure,southwest airlines,44.0,2024-05-11 13:15:00,,2024-05-11,Saturday
1556,departure,american airlines,34.0,2024-05-11 13:29:00,2024-05-11 14:02:00,2024-05-11,Saturday
1562,departure,delta air lines,29.0,2024-05-11 13:40:00,,2024-05-11,Saturday
1563,departure,delta air lines,16.0,2024-05-11 13:40:00,2024-05-11 13:55:00,2024-05-11,Saturday
1564,departure,southwest airlines,13.0,2024-05-11 13:40:00,2024-05-11 13:52:00,2024-05-11,Saturday
1565,departure,aeromexico,65.0,2024-05-11 13:45:00,,2024-05-11,Saturday
1569,departure,delta air lines,65.0,2024-05-11 13:45:00,,2024-05-11,Saturday
1571,departure,delta air lines,6.0,2024-05-11 13:45:00,2024-05-11 13:51:00,2024-05-11,Saturday
1574,departure,delta air lines,7.0,2024-05-11 13:55:00,2024-05-11 14:01:00,2024-05-11,Saturday
1576,departure,frontier airlines,9.0,2024-05-11 13:55:00,2024-05-11 14:03:00,2024-05-11,Saturday
1582,departure,american airlines,7.0,2024-05-11 14:00:00,2024-05-11 14:07:00,2024-05-11,Saturday
1584,departure,jetblue airways,16.0,2024-05-11 14:05:00,2024-05-11 14:21:00,2024-05-11,Saturday
1586,departure,delta air lines,24.0,2024-05-11 14:05:00,2024-05-11 14:28:00,2024-05-11,Saturday
1587,departure,southwest airlines,50.0,2024-05-11 14:05:00,2024-05-11 14:55:00,2024-05-11,Saturday
1590,departure,delta air lines,11.0,2024-05-11 14:14:00,2024-05-11 14:24:00,2024-05-11,Saturday
1593,departure,delta air lines,21.0,2024-05-11 14:15:00,2024-05-11 14:35:00,2024-05-11,Saturday
1595,departure,delta air lines,34.0,2024-05-11 14:24:00,2024-05-11 14:57:00,2024-05-11,Saturday
1596,departure,spirit airlines,14.0,2024-05-11 14:30:00,2024-05-11 14:44:00,2024-05-11,Saturday
1599,departure,united airlines,7.0,2024-05-11 14:41:00,2024-05-11 14:47:00,2024-05-11,Saturday
1605,departure,delta air lines,35.0,2024-05-11 15:10:00,2024-05-11 15:45:00,2024-05-11,Saturday
1608,departure,delta air lines,8.0,2024-05-11 15:10:00,2024-05-11 15:18:00,2024-05-11,Saturday
1611,departure,delta air lines,6.0,2024-05-11 15:10:00,2024-05-11 15:15:00,2024-05-11,Saturday
1614,departure,delta air lines,14.0,2024-05-11 15:15:00,2024-05-11 15:29:00,2024-05-11,Saturday
1617,departure,delta air lines,20.0,2024-05-11 15:15:00,2024-05-11 15:35:00,2024-05-11,Saturday
1619,departure,aeromexico,45.0,2024-05-11 15:17:00,2024-05-11 16:01:00,2024-05-11,Saturday
1624,departure,delta air lines,45.0,2024-05-11 15:17:00,2024-05-11 16:01:00,2024-05-11,Saturday
1627,departure,delta air lines,8.0,2024-05-11 15:20:00,2024-05-11 15:28:00,2024-05-11,Saturday
1631,departure,alaska airlines,34.0,2024-05-11 15:24:00,,2024-05-11,Saturday
1635,departure,delta air lines,6.0,2024-05-11 15:25:00,2024-05-11 15:30:00,2024-05-11,Saturday
1639,departure,delta air lines,24.0,2024-05-11 15:25:00,2024-05-11 15:49:00,2024-05-11,Saturday
1643,departure,delta air lines,13.0,2024-05-11 15:28:00,2024-05-11 15:41:00,2024-05-11,Saturday
1647,departure,delta air lines,7.0,2024-05-11 15:29:00,2024-05-11 15:35:00,2024-05-11,Saturday
1651,departure,delta air lines,4.0,2024-05-11 15:30:00,2024-05-11 15:33:00,2024-05-11,Saturday
1655,departure,delta air lines,14.0,2024-05-11 15:30:00,2024-05-11 15:44:00,2024-05-11,Saturday
1659,departure,delta air lines,8.0,2024-05-11 15:34:00,2024-05-11 15:42:00,2024-05-11,Saturday
1663,departure,delta air lines,2.0,2024-05-11 15:35:00,2024-05-11 15:36:00,2024-05-11,Saturday
1667,departure,delta air lines,30.0,2024-05-11 15:40:00,2024-05-11 16:10:00,2024-05-11,Saturday
1668,departure,united airlines,13.0,2024-05-11 15:42:00,2024-05-11 15:54:00,2024-05-11,Saturday
1671,departure,delta air lines,19.0,2024-05-11 06:00:00,2024-05-11 06:19:00,2024-05-11,Saturday
1683,departure,delta air lines,21.0,2024-05-11 15:43:00,2024-05-11 16:04:00,2024-05-11,Saturday
1686,departure,american airlines,6.0,2024-05-11 15:50:00,2024-05-11 15:56:00,2024-05-11,Saturday
1690,departure,delta air lines,44.0,2024-05-11 15:50:00,,2024-05-11,Saturday
1693,departure,united airlines,14.0,2024-05-11 15:58:00,2024-05-11 16:11:00,2024-05-11,Saturday
1697,departure,delta air lines,50.0,2024-05-11 16:05:00,2024-05-11 16:55:00,2024-05-11,Saturday
1702,departure,american airlines,174.0,2024-05-11 16:09:00,,2024-05-11,Saturday
1703,departure,frontier airlines,61.0,2024-05-11 16:09:00,,2024-05-11,Saturday
1707,departure,delta air lines,27.0,2024-05-11 16:10:00,2024-05-11 16:37:00,2024-05-11,Saturday
1708,departure,southwest airlines,31.0,2024-05-11 16:10:00,2024-05-11 16:41:00,2024-05-11,Saturday
1712,departure,delta air lines,11.0,2024-05-11 16:15:00,2024-05-11 16:25:00,2024-05-11,Saturday
1714,departure,united airlines,8.0,2024-05-11 16:15:00,2024-05-11 16:22:00,2024-05-11,Saturday
1718,departure,delta air lines,14.0,2024-05-11 16:20:00,2024-05-11 16:33:00,2024-05-11,Saturday
1725,departure,united airlines,23.0,2024-05-11 16:20:00,2024-05-11 16:43:00,2024-05-11,Saturday
1726,departure,southwest airlines,11.0,2024-05-11 16:20:00,2024-05-11 16:30:00,2024-05-11,Saturday
1733,departure,united airlines,16.0,2024-05-11 17:00:00,2024-05-11 17:15:00,2024-05-11,Saturday
1737,departure,delta air lines,32.0,2024-05-11 17:10:00,2024-05-11 17:42:00,2024-05-11,Saturday
1738,departure,delta air lines,40.0,2024-05-11 17:10:00,,2024-05-11,Saturday
1742,departure,delta air lines,9.0,2024-05-11 17:10:00,2024-05-11 17:19:00,2024-05-11,Saturday
1746,departure,delta air lines,13.0,2024-05-11 17:11:00,2024-05-11 17:24:00,2024-05-11,Saturday
1751,departure,alaska airlines,52.0,2024-05-11 17:15:00,2024-05-11 18:06:00,2024-05-11,Saturday
1753,departure,aeromexico,17.0,2024-05-11 17:15:00,2024-05-11 17:32:00,2024-05-11,Saturday
1756,departure,delta air lines,17.0,2024-05-11 17:15:00,2024-05-11 17:32:00,2024-05-11,Saturday
1759,departure,delta air lines,12.0,2024-05-11 17:15:00,2024-05-11 17:27:00,2024-05-11,Saturday
1763,departure,delta air lines,15.0,2024-05-11 17:15:00,2024-05-11 17:29:00,2024-05-11,Saturday
1769,departure,delta air lines,27.0,2024-05-11 17:15:00,2024-05-11 17:41:00,2024-05-11,Saturday
1770,departure,southwest airlines,30.0,2024-05-11 17:20:00,2024-05-11 17:50:00,2024-05-11,Saturday
1772,departure,frontier airlines,7.0,2024-05-11 17:24:00,2024-05-11 17:30:00,2024-05-11,Saturday
1773,departure,delta air lines,13.0,2024-05-11 17:25:00,2024-05-11 17:37:00,2024-05-11,Saturday
1774,departure,southwest airlines,8.0,2024-05-11 17:25:00,2024-05-11 17:33:00,2024-05-11,Saturday
1778,departure,delta air lines,9.0,2024-05-11 17:30:00,2024-05-11 17:39:00,2024-05-11,Saturday
1779,departure,delta air lines,6.0,2024-05-11 17:35:00,2024-05-11 17:40:00,2024-05-11,Saturday
1781,departure,delta air lines,27.0,2024-05-11 17:39:00,2024-05-11 18:06:00,2024-05-11,Saturday
1785,departure,delta air lines,8.0,2024-05-11 17:40:00,2024-05-11 17:47:00,2024-05-11,Saturday
1786,departure,delta air lines,11.0,2024-05-11 17:40:00,2024-05-11 17:51:00,2024-05-11,Saturday
1787,departure,delta air lines,4.0,2024-05-11 17:40:00,2024-05-11 17:44:00,2024-05-11,Saturday
1792,departure,delta air lines,8.0,2024-05-11 17:45:00,2024-05-11 17:53:00,2024-05-11,Saturday
1796,departure,delta air lines,15.0,2024-05-11 17:45:00,2024-05-11 17:59:00,2024-05-11,Saturday
1801,departure,delta air lines,16.0,2024-05-11 17:45:00,2024-05-11 18:01:00,2024-05-11,Saturday
1805,departure,delta air lines,4.0,2024-05-11 17:45:00,2024-05-11 17:49:00,2024-05-11,Saturday
1807,departure,delta air lines,6.0,2024-05-11 17:50:00,2024-05-11 17:56:00,2024-05-11,Saturday
1808,departure,delta air lines,8.0,2024-05-11 17:55:00,2024-05-11 18:02:00,2024-05-11,Saturday
1809,departure,southwest airlines,19.0,2024-05-11 17:55:00,2024-05-11 18:13:00,2024-05-11,Saturday
1810,departure,delta air lines,9.0,2024-05-11 17:59:00,2024-05-11 18:07:00,2024-05-11,Saturday
1814,departure,delta air lines,14.0,2024-05-11 17:59:00,2024-05-11 18:12:00,2024-05-11,Saturday
1817,departure,united airlines,12.0,2024-05-11 17:59:00,2024-05-11 18:11:00,2024-05-11,Saturday
1829,departure,delta air lines,,2024-05-11 06:30:00,,2024-05-11,Saturday
1837,departure,delta air lines,2.0,2024-05-11 15:30:00,2024-05-11 15:31:00,2024-05-11,Saturday
1841,departure,delta air lines,19.0,2024-05-11 18:00:00,2024-05-11 18:18:00,2024-05-11,Saturday
1844,departure,delta air lines,16.0,2024-05-11 18:00:00,2024-05-11 18:16:00,2024-05-11,Saturday
1846,departure,delta air lines,10.0,2024-05-11 18:00:00,2024-05-11 18:09:00,2024-05-11,Saturday
1847,departure,southwest airlines,28.0,2024-05-11 18:25:00,2024-05-11 18:52:00,2024-05-11,Saturday
1850,departure,delta air lines,2.0,2024-05-11 18:30:00,2024-05-11 18:31:00,2024-05-11,Saturday
1851,departure,southwest airlines,47.0,2024-05-11 18:35:00,2024-05-11 19:22:00,2024-05-11,Saturday
1852,departure,southwest airlines,7.0,2024-05-11 18:55:00,2024-05-11 19:02:00,2024-05-11,Saturday
1854,departure,alaska airlines,13.0,2024-05-11 19:40:00,2024-05-11 19:53:00,2024-05-11,Saturday
1855,departure,spirit airlines,25.0,2024-05-11 19:47:00,2024-05-11 20:11:00,2024-05-11,Saturday
1856,departure,hawaiian airlines,30.0,2024-05-11 19:59:00,2024-05-11 20:28:00,2024-05-11,Saturday
1857,departure,jetblue airways,30.0,2024-05-11 19:59:00,2024-05-11 20:28:00,2024-05-11,Saturday
1864,departure,american airlines,57.0,2024-05-11 20:05:00,,2024-05-11,Saturday
1865,departure,aeromexico,6.0,2024-05-11 20:15:00,2024-05-11 20:20:00,2024-05-11,Saturday
1868,departure,delta air lines,6.0,2024-05-11 20:15:00,2024-05-11 20:20:00,2024-05-11,Saturday
1869,departure,aeromexico,4.0,2024-05-11 20:30:00,2024-05-11 20:34:00,2024-05-11,Saturday
1872,departure,delta air lines,4.0,2024-05-11 20:30:00,2024-05-11 20:34:00,2024-05-11,Saturday
